model;year;price;transmission;mileage;fuelType;tax;mpg;engineSize;brand
 Q7;2018;59450;Automatic;15887;Diesel;145;39.2;4.0;audi
 A5;2016;17470;Manual;50405;Diesel;160;53.3;2.0;audi
 A5;2019;32990;Automatic;5000;Diesel;145;50.4;2.0;audi
 Q5;2019;33950;Semi-Auto;4980;Diesel;145;38.2;2.0;audi
 Q3;2017;16000;Manual;36943;Petrol;150;51.4;1.4;audi
 A1;2014;7951;Manual;53291;Diesel;0;74.3;1.6;audi
 A6;2018;19995;Manual;38000;Diesel;145;61.4;2.0;audi
 Q2;2017;16995;Semi-Auto;28000;Petrol;30;54.3;1.4;audi
 A1;2019;20476;Manual;6000;Petrol;145;47.9;1.0;audi
 A3;2016;14298;Manual;29203;Petrol;30;58.9;1.4;audi
 Q7;2018;62790;Semi-Auto;25062;Diesel;150;37.2;4.0;audi
 Q5;2019;35500;Semi-Auto;9280;Diesel;150;38.2;2.0;audi
 A5;2015;16000;Automatic;68250;Diesel;200;44.8;3.0;audi
 Q2;2018;20890;Semi-Auto;15300;Petrol;145;54.3;1.4;audi
 Q2;2020;24990;Manual;1500;Petrol;145;43.5;0.0;audi
 Q2;2016;19995;Manual;23426;Petrol;125;50.4;1.4;audi
 A4;2019;22250;Automatic;7000;Diesel;145;50.4;2.0;audi
 Q7;2016;32990;Semi-Auto;35285;Diesel;200;47.9;3.0;audi
 A4;2016;14000;Manual;48860;Diesel;20;70.6;2.0;audi
 A1;2017;13532;Manual;39836;Diesel;145;72.4;1.6;audi
 Q3;2016;15845;Manual;22270;Petrol;125;50.4;1.4;audi
 A4;2018;24900;Semi-Auto;40184;Diesel;150;60.1;2.0;audi
 A3;2015;10499;Manual;69124;Diesel;30;67.3;2.0;audi
 RS3;2018;36996;Semi-Auto;15400;Petrol;150;34.0;2.5;audi
 Q8;2019;49990;Semi-Auto;3062;Diesel;145;33.6;3.0;audi
 Q2;2018;23000;Semi-Auto;17000;Petrol;150;52.3;1.4;audi
 A3;2019;24444;Semi-Auto;3140;Diesel;145;51.4;2.0;audi
 A5;2017;23490;Semi-Auto;35220;Petrol;145;48.7;2.0;audi
 Q2;2019;26888;Automatic;2197;Diesel;145;47.9;2.0;audi
 A3;2016;16900;Manual;29898;Petrol;20;60.1;1.4;audi
 A1;2016;12000;Automatic;17358;Diesel;0;74.3;1.6;audi
 A1;2017;17990;Manual;30518;Petrol;235;39.8;2.0;audi
 A1;2016;10500;Manual;41816;Petrol;0;67.3;1.0;audi
 A3;2019;23237;Semi-Auto;3188;Petrol;145;42.2;1.5;audi
 A4;2018;18498;Manual;14203;Petrol;145;52.3;1.4;audi
 A4;2016;15989;Manual;34066;Diesel;30;67.3;2.0;audi
 A4;2017;18100;Manual;17278;Petrol;145;48.7;1.4;audi
 A3;2020;35995;Semi-Auto;314;Petrol;150;34.9;2.0;audi
 Q5;2016;31990;Automatic;44705;Diesel;235;42.2;3.0;audi
 A3;2019;32490;Semi-Auto;6123;Petrol;145;34.5;2.0;audi
 A1;2016;10290;Manual;42500;Petrol;0;67.3;1.0;audi
 A7;2019;39990;Automatic;5000;Diesel;145;38.2;3.0;audi
 A3;2017;15307;Automatic;12000;Diesel;145;70.6;1.6;audi
 A4;2016;23500;Semi-Auto;26270;Diesel;145;56.5;2.0;audi
 Q3;2015;17990;Automatic;29957;Diesel;160;50.4;2.0;audi
 Q5;2016;32900;Semi-Auto;31267;Diesel;240;42.2;3.0;audi
 Q2;2019;19999;Manual;9250;Diesel;145;49.6;1.6;audi
 A3;2015;14999;Automatic;38456;Petrol;30;57.6;1.4;audi
 Q7;2019;48950;Semi-Auto;7915;Diesel;150;32.8;3.0;audi
 Q5;2013;21998;Semi-Auto;48282;Diesel;260;41.5;3.0;audi
 A5;2019;34500;Semi-Auto;2000;Petrol;145;37.7;2.0;audi
 TT;2019;31750;Automatic;1791;Petrol;145;34.9;2.0;audi
 A3;2015;15399;Automatic;50497;Petrol;160;43.5;1.8;audi
 A6;2019;52000;Automatic;3000;Diesel;145;35.8;3.0;audi
 A6;2015;14500;Semi-Auto;57192;Diesel;145;55.4;3.0;audi
 A1;2016;10699;Manual;16569;Petrol;0;67.3;1.0;audi
 Q5;2018;26995;Semi-Auto;12447;Diesel;145;56.5;2.0;audi
 RS3;2016;29888;Semi-Auto;29920;Petrol;300;34.9;2.5;audi
 A3;2013;7999;Manual;79000;Petrol;30;57.6;1.2;audi
 Q2;2018;22444;Semi-Auto;18258;Petrol;150;52.3;1.4;audi
 A3;2016;14032;Manual;44658;Petrol;125;52.3;1.4;audi
 Q3;2020;39000;Semi-Auto;3500;Diesel;145;46.3;2.0;audi
 A4;2016;16500;Automatic;40882;Diesel;20;67.3;2.0;audi
 Q3;2017;15850;Semi-Auto;48747;Petrol;150;47.9;1.4;audi
 Q5;2017;23950;Automatic;46048;Diesel;145;56.5;2.0;audi
 A3;2016;8698;Manual;37123;Diesel;20;72.4;1.6;audi
 Q7;2017;35995;Semi-Auto;33165;Diesel;200;47.9;3.0;audi
 Q2;2019;26995;Semi-Auto;3772;Petrol;145;33.2;2.0;audi
 A3;2019;21450;Manual;4000;Petrol;145;47.1;1.0;audi
 A1;2020;27995;Automatic;94;Petrol;145;40.4;2.0;audi
 A8;2018;36995;Semi-Auto;2905;Diesel;145;40.4;3.0;audi
 A1;2017;12698;Manual;11017;Petrol;150;67.3;1.0;audi
 A3;2015;15990;Manual;43601;Diesel;20;67.3;2.0;audi
 Q3;2015;15798;Manual;21691;Petrol;145;49.6;1.4;audi
 Q5;2019;34998;Semi-Auto;85;Petrol;145;32.1;2.0;audi
 Q2;2017;18395;Manual;24000;Petrol;145;50.4;1.4;audi
 A4;2019;28000;Manual;3000;Petrol;145;39.2;2.0;audi
 S3;2017;23950;Semi-Auto;26500;Petrol;150;43.5;2.0;audi
 Q5;2015;17900;Manual;40785;Diesel;205;47.9;2.0;audi
 A1;2017;11490;Manual;14960;Petrol;145;57.6;1.4;audi
 A8;2015;19699;Automatic;41522;Diesel;200;47.9;3.0;audi
 A6;2013;7500;Manual;96840;Diesel;125;57.6;2.0;audi
 RS6;2016;47490;Automatic;51600;Petrol;325;29.4;4.0;audi
 A4;2017;19430;Automatic;23548;Diesel;145;65.7;2.0;audi
 A3;2017;18450;Semi-Auto;21055;Petrol;30;56.5;1.4;audi
 TT;2020;32990;Automatic;150;Petrol;145;38.7;2.0;audi
 Q2;2019;19250;Manual;804;Petrol;145;47.1;1.0;audi
 Q3;2017;19600;Manual;23994;Petrol;145;49.6;1.4;audi
 A6;2019;33410;Semi-Auto;3968;Diesel;145;47.9;2.0;audi
 A3;2019;23999;Semi-Auto;13450;Petrol;145;42.2;1.5;audi
 A5;2019;32500;Automatic;1000;Diesel;145;47.1;2.0;audi
 A3;2019;31400;Semi-Auto;284;Petrol;150;34.9;2.0;audi
 Q7;2019;47990;Automatic;3139;Diesel;145;33.2;3.0;audi
 A4;2016;12998;Manual;68248;Diesel;20;72.4;2.0;audi
 A3;2013;8490;Manual;59305;Diesel;20;67.3;2.0;audi
 A3;2017;15700;Manual;22889;Diesel;145;67.3;2.0;audi
 A3;2016;21990;Semi-Auto;26824;Petrol;200;40.4;2.0;audi
 A5;2019;29990;Automatic;10000;Diesel;145;50.4;2.0;audi
 A1;2019;22990;Automatic;1587;Petrol;145;40.9;2.0;audi
 Q5;2014;14888;Manual;60173;Diesel;205;47.9;2.0;audi
 A4;2019;23500;Manual;5500;Petrol;145;40.4;2.0;audi
 A3;2009;5995;Manual;82000;Petrol;235;39.2;2.0;audi
 A3;2019;24991;Semi-Auto;2621;Diesel;145;50.4;2.0;audi
 A1;2017;15995;Manual;8128;Petrol;30;55.4;1.4;audi
 Q2;2019;21395;Manual;5800;Diesel;145;47.9;1.6;audi
 A4;2017;17995;Manual;40133;Diesel;145;62.8;2.0;audi
 A6;2016;17300;Automatic;24421;Diesel;30;61.4;2.0;audi
 A6;2016;20490;Automatic;33647;Diesel;150;56.5;2.0;audi
 Q5;2016;24000;Automatic;22682;Petrol;235;37.7;2.0;audi
 Q5;2013;15500;Automatic;39780;Diesel;195;47.1;2.0;audi
 Q7;2019;45990;Automatic;6331;Diesel;145;33.2;3.0;audi
 A6;2019;33985;Automatic;5429;Diesel;145;47.9;2.0;audi
 A1;2017;15995;Manual;16086;Petrol;30;55.4;1.4;audi
 Q3;2017;17649;Manual;33600;Diesel;145;61.4;2.0;audi
 A8;2018;37900;Semi-Auto;6098;Diesel;145;50.4;3.0;audi
 Q3;2020;39888;Automatic;1500;Petrol;145;30.7;2.0;audi
 A4;2014;14950;Automatic;33894;Diesel;200;47.1;0.0;audi
 A4;2014;12898;Manual;43012;Diesel;150;55.4;2.0;audi
 A1;2020;22290;Semi-Auto;402;Petrol;145;44.8;1.5;audi
 Q3;2014;15995;Semi-Auto;24000;Petrol;265;36.7;2.0;audi
 Q3;2018;19991;Semi-Auto;20555;Petrol;145;47.9;1.4;audi
 Q3;2019;35444;Automatic;7040;Petrol;145;30.7;2.0;audi
 Q5;2018;37495;Semi-Auto;19443;Petrol;145;34.0;3.0;audi
 A3;2014;7690;Manual;77430;Diesel;0;74.3;1.6;audi
 A4;2017;14999;Manual;11973;Diesel;145;70.6;2.0;audi
 A1;2019;19995;Semi-Auto;4300;Petrol;150;45.6;1.0;audi
 A6;2019;31985;Semi-Auto;2811;Diesel;145;47.9;2.0;audi
 Q7;2019;47555;Automatic;14495;Diesel;145;32.8;3.0;audi
 Q2;2019;24999;Manual;6688;Petrol;145;40.9;1.5;audi
 Q2;2017;21490;Semi-Auto;16150;Petrol;145;52.3;1.4;audi
 A1;2019;21000;Automatic;4288;Petrol;145;47.1;1.0;audi
 Q3;2019;26000;Manual;2000;Diesel;145;42.8;2.0;audi
 A7;2020;51995;Semi-Auto;500;Diesel;145;38.7;3.0;audi
 A1;2015;10499;Manual;57179;Petrol;30;56.5;1.4;audi
 A4;2019;29991;Automatic;2798;Diesel;145;44.8;2.0;audi
 Q2;2019;27000;Semi-Auto;7481;Diesel;145;46.3;2.0;audi
 A3;2015;14536;Automatic;42195;Petrol;30;54.3;1.4;audi
 Q3;2015;16490;Semi-Auto;45521;Diesel;160;51.4;2.0;audi
 A1;2017;11495;Manual;24857;Diesel;0;76.3;1.6;audi
 A3;2017;18000;Manual;16417;Diesel;145;67.3;1.6;audi
 A1;2018;17700;Manual;10900;Petrol;145;54.3;1.4;audi
 A3;2017;14790;Manual;16023;Petrol;145;60.1;1.4;audi
 Q2;2019;22986;Automatic;5313;Diesel;145;46.3;1.6;audi
 Q2;2020;26880;Manual;3524;Petrol;145;43.5;1.5;audi
 A3;2013;10000;Manual;65500;Petrol;125;53.3;1.4;audi
 A5;2019;26888;Automatic;1500;Petrol;145;39.8;2.0;audi
 A3;2019;25950;Semi-Auto;4900;Petrol;145;43.5;1.5;audi
 Q3;2016;18000;Automatic;33124;Diesel;160;50.4;2.0;audi
 Q2;2018;21995;Manual;9634;Petrol;145;50.4;1.4;audi
 Q7;2019;51995;Semi-Auto;6000;Diesel;145;33.2;3.0;audi
 Q3;2019;25491;Manual;2714;Diesel;145;42.8;2.0;audi
 A4;2016;14099;Manual;65106;Diesel;20;70.6;2.0;audi
 Q3;2019;24990;Manual;2721;Diesel;145;42.8;2.0;audi
 A5;2019;29950;Semi-Auto;1284;Petrol;145;39.8;2.0;audi
 A3;2016;12199;Manual;82023;Diesel;20;70.6;1.6;audi
 Q5;2015;23450;Semi-Auto;53646;Diesel;235;42.8;3.0;audi
 A3;2016;16400;Manual;24102;Petrol;30;60.1;1.4;audi
 Q5;2017;36230;Semi-Auto;17503;Petrol;145;34.0;3.0;audi
 A4;2019;25499;Semi-Auto;9000;Petrol;145;38.7;2.0;audi
 TT;2015;15699;Manual;20517;Diesel;20;67.3;2.0;audi
 A3;2016;13998;Manual;56457;Diesel;20;67.3;2.0;audi
 Q3;2019;26450;Semi-Auto;972;Diesel;150;48.7;2.0;audi
 A1;2017;11990;Manual;24587;Petrol;150;67.3;1.0;audi
 Q3;2017;18291;Manual;28615;Diesel;145;56.5;2.0;audi
 A5;2019;25016;Automatic;14;Diesel;145;70.6;2.0;audi
 Q7;2019;49490;Automatic;6301;Diesel;145;33.2;3.0;audi
 A5;2020;31690;Semi-Auto;3390;Diesel;145;50.4;2.0;audi
 TT;2002;2876;Manual;99000;Petrol;295;30.1;1.8;audi
 Q3;2016;16950;Manual;31025;Diesel;30;61.4;2.0;audi
 Q7;2018;54990;Semi-Auto;19940;Diesel;145;39.2;4.0;audi
 Q3;2019;25000;Manual;4500;Petrol;145;40.9;1.5;audi
 A3;2016;16490;Manual;39000;Diesel;125;57.6;2.0;audi
 A5;2019;33990;Automatic;5000;Diesel;145;47.1;2.0;audi
 A1;2014;10595;Semi-Auto;66883;Petrol;30;57.6;1.4;audi
 A3;2017;18500;Manual;15197;Petrol;145;54.3;1.5;audi
 Q3;2016;19298;Semi-Auto;16021;Diesel;160;50.4;2.0;audi
 A4;2006;3495;Automatic;105000;Petrol;300;34.0;2.0;audi
 Q5;2014;19999;Automatic;37459;Petrol;260;35.8;2.0;audi
 Q3;2017;16000;Manual;41381;Petrol;125;51.4;1.4;audi
 A4;2015;14990;Manual;46000;Diesel;30;61.4;2.0;audi
 A4;2019;39990;Automatic;8000;Diesel;145;40.4;3.0;audi
 A5;2019;38995;Automatic;3243;Petrol;145;37.2;2.0;audi
 A5;2013;11998;Manual;59773;Diesel;30;60.1;2.0;audi
 RS6;2014;37000;Automatic;59894;Petrol;555;28.8;4.0;audi
 A4;2019;25850;Automatic;3957;Petrol;145;38.2;2.0;audi
 Q3;2019;37990;Automatic;6000;Petrol;145;31.4;2.0;audi
 Q7;2019;44990;Semi-Auto;10342;Diesel;145;33.2;3.0;audi
 A4;2015;9249;Manual;84638;Diesel;20;67.3;2.0;audi
 A6;2019;44990;Semi-Auto;2700;Diesel;145;36.2;3.0;audi
 A1;2017;12500;Manual;26600;Petrol;0;67.3;1.0;audi
 A3;2017;14517;Manual;8956;Petrol;150;60.1;1.0;audi
 Q7;2017;33990;Automatic;44691;Diesel;200;47.9;3.0;audi
 A3;2020;30777;Semi-Auto;3925;Petrol;145;44.1;1.5;audi
 A5;2019;26156;Semi-Auto;12513;Petrol;145;39.8;2.0;audi
 RS5;2019;53990;Automatic;2000;Petrol;145;30.1;2.9;audi
 Q5;2019;38990;Semi-Auto;2910;Petrol;145;32.1;2.0;audi
 A5;2014;16000;Semi-Auto;75159;Petrol;260;34.9;3.0;audi
 A6;2016;20995;Semi-Auto;23700;Diesel;30;61.4;3.0;audi
 A5;2019;31399;Automatic;2500;Diesel;145;47.1;2.0;audi
 Q3;2017;21450;Semi-Auto;21871;Petrol;145;47.9;1.4;audi
 A3;2017;21602;Semi-Auto;28498;Petrol;145;48.7;2.0;audi
 A1;2016;8695;Manual;30000;Petrol;240;39.8;2.0;audi
 Q5;2019;33850;Automatic;11254;Diesel;145;38.2;2.0;audi
 R8;2019;116000;Automatic;2369;Petrol;145;22.6;5.2;audi
 A1;2015;12070;Manual;31214;Petrol;30;55.4;1.4;audi
 A3;2017;18990;Manual;21130;Diesel;145;65.7;2.0;audi
 A3;2017;13695;Manual;26413;Petrol;20;60.1;1.0;audi
 A3;2018;14500;Semi-Auto;22496;Diesel;145;72.4;1.6;audi
 Q7;2019;52990;Automatic;5000;Diesel;145;33.2;3.0;audi
 Q3;2016;16700;Manual;38564;Diesel;145;52.3;2.0;audi
 Q2;2019;20990;Manual;3500;Petrol;145;47.1;1.0;audi
 A6;2019;29250;Automatic;10055;Diesel;145;47.9;2.0;audi
 A5;2017;22990;Automatic;28500;Diesel;145;65.7;2.0;audi
 A8;2018;37750;Semi-Auto;3027;Diesel;145;40.4;3.0;audi
 Q3;2015;18781;Semi-Auto;24621;Diesel;145;54.3;2.0;audi
 Q8;2019;58000;Automatic;8300;Petrol;145;26.4;3.0;audi
 Q2;2019;26490;Semi-Auto;14291;Petrol;150;39.8;1.5;audi
 A4;2015;16350;Manual;65285;Diesel;20;67.3;2.0;audi
 A6;2015;17996;Semi-Auto;48175;Diesel;125;57.6;3.0;audi
 A6;2016;17000;Semi-Auto;57221;Diesel;30;61.4;2.0;audi
 A6;2015;19780;Automatic;49373;Diesel;125;61.4;2.0;audi
 A4;2015;12490;Manual;38041;Diesel;30;64.2;2.0;audi
 Q3;2019;32000;Automatic;4000;Petrol;145;31.4;0.0;audi
 TT;2020;54995;Semi-Auto;2000;Petrol;145;30.1;2.5;audi
 RS6;2020;97500;Semi-Auto;3220;Petrol;150;22.1;4.0;audi
 Q2;2019;23995;Semi-Auto;3860;Diesel;145;47.9;2.0;audi
 A4;2016;18000;Manual;23596;Petrol;145;48.7;2.0;audi
 Q3;2017;19499;Automatic;29110;Diesel;160;50.4;2.0;audi
 A3;2017;15700;Semi-Auto;26598;Petrol;30;58.9;1.4;audi
 A3;2019;29256;Semi-Auto;7825;Petrol;145;34.9;2.0;audi
 A3;2017;17998;Semi-Auto;31317;Diesel;125;57.6;2.0;audi
 A4;2018;16498;Manual;19934;Petrol;145;52.3;1.4;audi
 A1;2014;11995;Manual;24764;Diesel;0;74.3;1.6;audi
 Q7;2019;44500;Automatic;12697;Diesel;145;32.8;3.0;audi
 Q3;2018;18900;Manual;8560;Petrol;145;51.4;1.4;audi
 Q3;2016;18998;Semi-Auto;32968;Diesel;160;50.4;2.0;audi
 A5;2020;30990;Automatic;10;Diesel;145;47.1;2.0;audi
 A3;2019;25000;Automatic;11698;Petrol;150;42.2;1.5;audi
 A6;2016;23400;Automatic;37998;Diesel;160;50.4;3.0;audi
 Q7;2019;46990;Automatic;6000;Diesel;145;33.2;3.0;audi
 A3;2019;18530;Semi-Auto;9961;Diesel;145;52.3;1.6;audi
 Q2;2017;19495;Semi-Auto;31078;Petrol;145;52.3;1.4;audi
 A4;2019;43495;Automatic;5000;Diesel;145;40.9;3.0;audi
 A1;2013;10500;Automatic;24913;Petrol;20;60.1;1.4;audi
 A3;2017;21799;Semi-Auto;37317;Petrol;150;43.5;2.0;audi
 A6;2015;18998;Semi-Auto;49039;Diesel;160;50.4;3.0;audi
 A4;2019;25000;Automatic;2142;Petrol;145;39.2;2.0;audi
 A3;2014;8895;Manual;50262;Diesel;0;74.3;1.6;audi
 Q2;2019;30000;Semi-Auto;7000;Petrol;145;33.2;2.0;audi
 A3;2015;7999;Manual;73643;Petrol;30;56.5;1.2;audi
 A5;2018;22990;Manual;25448;Petrol;145;48.7;2.0;audi
 A1;2015;10498;Manual;41015;Petrol;0;67.3;1.0;audi
 Q3;2014;12498;Semi-Auto;55680;Diesel;200;47.9;2.0;audi
 A3;2015;8990;Manual;49000;Diesel;0;83.1;1.6;audi
 A3;2016;15998;Manual;26849;Diesel;20;65.7;2.0;audi
 A4;2017;14400;Automatic;32097;Diesel;145;72.4;2.0;audi
 Q7;2019;53990;Semi-Auto;8224;Diesel;145;33.2;3.0;audi
 A7;2019;40000;Semi-Auto;4000;Diesel;145;38.7;3.0;audi
 Q3;2019;32990;Automatic;3300;Petrol;145;31.7;2.0;audi
 A1;2020;24990;Semi-Auto;5000;Petrol;145;44.8;1.5;audi
 A3;2012;6450;Manual;73994;Diesel;30;65.7;1.6;audi
 Q2;2017;16295;Manual;29741;Petrol;125;52.3;1.4;audi
 A6;2017;16200;Manual;22582;Diesel;145;61.4;2.0;audi
 A3;2019;32111;Semi-Auto;3877;Petrol;150;34.9;2.0;audi
 Q3;2017;19656;Manual;20355;Petrol;145;49.6;1.4;audi
 Q5;2016;18891;Semi-Auto;28931;Diesel;205;47.9;2.0;audi
 Q2;2017;16498;Manual;31362;Diesel;145;64.2;1.6;audi
 Q2;2017;20890;Semi-Auto;14703;Petrol;150;52.3;1.4;audi
 A1;2013;7200;Manual;54766;Petrol;125;53.3;1.4;audi
 Q5;2019;46999;Semi-Auto;5000;Diesel;145;36.2;2.0;audi
 A8;2020;48490;Semi-Auto;1354;Diesel;145;39.2;3.0;audi
 A1;2016;12300;Semi-Auto;44290;Diesel;0;76.3;1.6;audi
 A3;2016;19990;Semi-Auto;50000;Petrol;200;40.9;2.0;audi
 A4;2019;23990;Manual;6267;Petrol;145;38.2;2.0;audi
 A3;2013;8599;Manual;40646;Diesel;0;74.3;1.6;audi
 A5;2019;28950;Semi-Auto;2866;Petrol;145;39.8;2.0;audi
 Q5;2019;33000;Semi-Auto;10949;Diesel;145;38.2;2.0;audi
 TT;2015;14998;Manual;41319;Diesel;20;67.3;2.0;audi
 A4;2014;12490;Manual;58200;Diesel;30;62.8;2.0;audi
 TT;2017;26950;Semi-Auto;15996;Petrol;200;40.9;2.0;audi
 TT;2016;18100;Manual;20405;Petrol;145;47.1;1.8;audi
 A3;2019;32400;Semi-Auto;5904;Petrol;145;34.5;2.0;audi
 A4;2016;12992;Manual;45338;Petrol;145;51.4;1.4;audi
 Q5;2016;19498;Manual;29049;Diesel;200;47.9;2.0;audi
 A3;2014;13450;Semi-Auto;32126;Petrol;20;60.1;1.4;audi
 Q2;2019;26302;Semi-Auto;3356;Diesel;145;44.8;1.6;audi
 A3;2014;14525;Automatic;24076;Petrol;125;50.4;1.8;audi
 A3;2013;8990;Manual;85255;Diesel;0;74.3;1.6;audi
 A1;2016;11602;Manual;24154;Petrol;30;57.6;1.4;audi
 Q5;2019;47850;Semi-Auto;11751;Diesel;145;34.5;3.0;audi
 A3;2019;18400;Manual;1809;Diesel;145;49.6;1.6;audi
 Q3;2016;15500;Automatic;11863;Diesel;160;50.4;2.0;audi
 A4;2015;9690;Manual;80950;Diesel;30;64.2;2.0;audi
 A1;2017;14790;Semi-Auto;15663;Petrol;150;56.5;1.4;audi
 A4;2016;19498;Semi-Auto;16922;Diesel;30;65.7;2.0;audi
 A4;2020;32990;Semi-Auto;1000;Diesel;145;50.4;2.0;audi
 A4;2019;26500;Automatic;4322;Diesel;145;49.6;2.0;audi
 A3;2018;13999;Manual;19811;Diesel;145;70.6;1.6;audi
 Q2;2019;29995;Semi-Auto;4000;Petrol;145;33.2;2.0;audi
 A3;2018;22450;Automatic;22494;Diesel;150;56.5;2.0;audi
 Q5;2019;38691;Automatic;10;Diesel;145;38.2;2.0;audi
 A1;2019;18500;Manual;3500;Petrol;150;51.4;1.0;audi
 A5;2016;21490;Automatic;40001;Diesel;160;50.4;2.0;audi
 A3;2017;23671;Semi-Auto;24260;Petrol;150;43.5;2.0;audi
 A3;2015;11850;Manual;43988;Petrol;20;60.1;1.4;audi
 Q2;2019;22000;Manual;2000;Diesel;145;49.6;1.6;audi
 A1;2016;14999;Automatic;18251;Petrol;30;70.6;1.4;audi
 A4;2013;8990;Manual;83000;Diesel;30;62.8;2.0;audi
 A4;2016;14899;Automatic;49093;Diesel;30;64.2;2.0;audi
 Q2;2020;25490;Manual;5000;Petrol;145;43.5;1.5;audi
 A3;2017;13100;Manual;25965;Diesel;145;65.7;2.0;audi
